set,n,r2,mae,rmse,dir_acc,corr,target_std
model | all_predictions,58995,0.10436610469199747,0.7614621364544898,1.0127226974454815,0.6094584286803967,0.3256762166356224,1.0701022644448228
naive_persistence | all_predictions,58995,-0.33815221082566116,0.8300494704981163,1.2378785600007718,0.6559708449868633,0.3310496811252137,1.0701022644448228
model | entries_abs_pred>=0.5,8775,0.34708941720260345,0.7942708457540434,1.0716213045398881,0.7670655270655271,0.5934952774236766,1.3262166778652325
naive_persistence | entries_abs_pred>=0.5,8775,0.17349066656106094,0.7786590448515006,1.205697516118731,0.7695726495726496,0.6036409085413529,1.3262166778652325
