tau,n,frac_of_live_tau05,diracc,r2_pred_vs_exit_z,mean_pnl,total_pnl,sharpe_per_trade,sharpe_A_hourly,pnl_std,naive_diracc_entry_z,naive_r2_entry_z,hours_positive,hours_total
0.5,50690,1.0,0.7899191161964885,0.43887511793334755,0.8373835565884933,42446.97248347072,0.7461155123346169,4.384503709871499,1.1223242818907437,0.7770763464194121,0.2783560783215375,74,74
0.75,20866,0.41163937660288025,0.8446755487395764,0.5458643454331414,1.1658082173827966,24325.75426390943,0.9538819340125899,2.5095402032811878,1.2221724469387105,0.8378222946420013,0.48138856078184,74,74
0.9,12795,0.2524166502268692,0.8671355998436889,0.5990371393573842,1.3722711889530343,17558.209862654076,1.0767287848863298,1.8276155064588537,1.2744817527079533,0.8655724892536147,0.5599146204330641,74,74
1.0,9390,0.18524363779838232,0.8795527156549521,0.6345271923769342,1.5110494334834126,14188.754180409243,1.1666448374281035,1.5121719770127053,1.2952094630740896,0.8815761448349307,0.6175707637719734,74,74
