label,mae,rmse,r2,dir_acc,r2_tau0.5,dir_acc_tau0.5,pnl_proxy,n,n_tau0.5,zscore_window,min_periods,horizon,n_lags,model,best_iter,n_train,n_val
lgbm W=20,0.791644158645016,0.9973348792461796,0.04710870781507259,0.5592285089215587,0.3898082060566793,0.7872589330259604,0.14958894346995824,1697181,58127,20,6,1,3,lgbm_reg,557,4758658,141002
naive W=20,0.9837231335109375,1.330846508405122,-0.6967477501730885,0.5847608475466082,-1.0234127886110755,0.5804505035453895,0.12383378383289245,1697181,1079148,20,6,1,3,naive_zlag1,0,4758658,141002
lgbm W=60,0.7681224677264885,0.9955173171548566,0.07769751398265001,0.5871646469100631,0.3771269487554396,0.7716865710391381,0.1983327748563595,1703093,123256,60,18,1,3,lgbm_reg,241,4766573,137631
naive W=60,0.9249097599873807,1.3017943773264722,-0.577104692787612,0.6104986633143346,-0.8373875348810351,0.6082819012240309,0.1762997714633874,1703093,1063862,60,18,1,3,naive_zlag1,0,4766573,137631
lgbm W=120,0.754970049458612,0.9877240895039227,0.09796087192014713,0.6065497408005239,0.3955272828511729,0.7845417523825517,0.2276709714551359,1698113,142914,120,36,1,3,lgbm_reg,57,4739172,131445
naive W=120,0.8952926069146127,1.279350121041324,-0.5133274644372423,0.6223643538445321,-0.737877429517158,0.6237562348065802,0.20405210792753584,1698113,1055967,120,36,1,3,naive_zlag1,0,4739172,131445
lgbm W=180,0.7486179705093927,0.9834813850091224,0.1112502122588771,0.6186002560074888,0.41406122788367394,0.7962348245468153,0.24723236115944966,1692138,150325,180,54,1,3,lgbm_reg,45,4708542,125235
naive W=180,0.8801945807794642,1.267268800563464,-0.4756545713078182,0.6297039603152934,-0.6794326410656952,0.6336850635454178,0.22150889156235437,1692138,1051374,180,54,1,3,naive_zlag1,0,4708542,125235
lgbm W=240,0.7444647007755697,0.9803333650770183,0.11870722681644374,0.628267453405981,0.4209214082308541,0.8060213589308749,0.25937448632222976,1685946,152723,240,72,1,3,lgbm_reg,39,4677531,119025
naive W=240,0.8703567643164632,1.2587962422361232,-0.453059896469753,0.634325180047285,-0.6459132008665469,0.6399859343750687,0.23228619971607506,1685946,1046523,240,72,1,3,naive_zlag1,0,4677531,119025
lgbm W=300,0.7411396923641433,0.9782821838558697,0.12351321604681731,0.6314486324041397,0.41930709881100714,0.8085723839024913,0.26627915426506876,1679736,158509,300,90,1,3,lgbm_reg,37,4646499,112815
naive W=300,0.863938834424118,1.2539524411335576,-0.4400554454205041,0.6371965594593436,-0.6263807616103376,0.6438123050196826,0.23847177671258665,1679736,1043054,300,90,1,3,naive_zlag1,0,4646499,112815
lgbm W=320,0.739723714644208,0.9774915531033022,0.12550898523892207,0.6324238555230898,0.41795101516817523,0.8084306340620494,0.2682063061696068,1677666,164353,320,96,1,3,lgbm_reg,38,4636150,110745
naive W=320,0.8621563047396718,1.2524994394820401,-0.4357684492671541,0.6379470049461573,-0.6196291729264087,0.6447456357665495,0.24020245744922333,1677666,1041420,320,96,1,3,naive_zlag1,0,4636150,110745
