set,n,r2,mae,rmse,dir_acc,corr,target_std
model | all_predictions,49310,0.05386480552038808,0.8280199875961312,1.0571739454061149,0.5528898803488136,0.30472195954924813,1.086850607132858
naive_persistence | all_predictions,49310,-0.5467842065212478,0.9649033456716158,1.3517137041244665,0.6234029608598661,0.2268565195425979,1.086850607132858
model | entries_abs_pred>=0.5,5054,0.24792129628421267,0.8754051873365476,1.1168749129442652,0.7647407993668381,0.5605194688954962,1.2878725612290476
naive_persistence | entries_abs_pred>=0.5,5054,-0.0450204276494619,0.9522058621257982,1.316543703648296,0.7540561931143649,0.5032164651165489,1.2878725612290476
