model,target,best_iter,entry_min,use_abs_entry,reg_mae,reg_rmse,reg_r2,reg_dir_acc,trade_n_trades,trade_pct_rows,trade_mean_gross_bps,trade_median_gross_bps,trade_mean_net_flat16,trade_mean_net_pair_fee,trade_win_rate_gross,trade_win_rate_net_flat16,trade_win_rate_net_pair_fee,trade_entry_min,trade_mode,wall_s
zscore_fwd,target_z,49,0.5,True,0.7328035564483437,0.9730820414992488,0.13280704713287694,0.6288708934520175,275775,0.16411017206351247,-0.864675987051931,0.0,-16.864675987051932,-104.80879710027828,0.3644964191823044,0.008800652706010334,1.0878433505575197e-05,0.5,z,39.1
bps_gross,target_bps_gross,1,16.0,False,2.6832676952960055,5.420013451608639,0.002969139919437702,0.3931929534143955,0,0.0,,,,,,,,16.0,bps_gross,28.8
bps_gross_entry0,target_bps_gross,1,0.0,False,2.6832676952960055,5.420013451608639,0.002969139919437702,0.3931929534143955,1302628,0.7614207738431341,0.17687058768418173,0.0,-15.823129412315817,-83.66900866564063,0.38104355195804174,0.008096709114190697,2.9171797320493648e-05,0.0,bps_gross,3.0
bps_net_flat16,target_bps_net_flat16,1,0.0,False,2.6832676952273786,5.420013451604728,0.0029691399208767733,0.9904540953690292,0,0.0,,,,,,,,0.0,bps_net_flat16,32.4
bps_net_pair_fee,target_bps_net_pair,685,0.0,False,3.4054640667062985,5.902697346623192,0.9870126194528163,0.9999707736677761,0,0.0,,,,,,,,0.0,bps_net_pair,117.4
