asset_a,asset_b,n_obs,direction,hedge_ratio,intercept,adf_stat,adf_p,engle_granger_p,adf_q,cointegrated_after_fdr
ARB,LDO,4620,log(LDO) ~ log(ARB),0.7199472654060014,0.47362617864285483,-4.215552177892175,0.0006200778067787683,0.003468861001236729,0.08433058172191249,False
LDO,WLD,4620,log(LDO) ~ log(WLD),-0.07426080289386494,-1.4544846131248361,-3.791957383404472,0.0029906817121478956,0.01386963729626834,0.13152394469346085,False
ARB,AVAX,4620,log(AVAX) ~ log(ARB),1.1028075716376384,4.732947534510672,-3.750595240850979,0.0034552245046126535,0.015735103161208172,0.13152394469346085,False
AVAX,LDO,4620,log(LDO) ~ log(AVAX),0.5182565737214384,-2.3641586047920677,-3.7178964889498953,0.003868351314513554,0.0174013202303931,0.13152394469346085,False
BTC,DOGE,4620,log(BTC) ~ log(DOGE),0.3491977367009156,11.911119202546445,-3.5415685238123538,0.006981542258251125,0.02869298960711747,0.16639290301220558,False
BTC,SOL,4620,log(BTC) ~ log(SOL),0.0009312773913734418,10.996527730986884,-3.3683604357183135,0.01208592723789258,0.0458081360985379,0.16639290301220558,False
ARB,BTC,4620,log(BTC) ~ log(ARB),0.12786198941307747,11.33212866234722,-3.348919642242851,0.01282844432349577,0.04814200594771367,0.16639290301220558,False
CRV,XRP,4620,log(XRP) ~ log(CRV),0.5911415612678648,1.0274240934672423,-3.3344781556291534,0.013405907094769779,0.05039370570443398,0.16639290301220558,False
BTC,WLD,4620,log(BTC) ~ log(WLD),0.10953813880912122,11.090371163494105,-3.326025883376479,0.013754449411026212,0.05036321874507682,0.16639290301220558,False
BTC,WIF,4620,log(BTC) ~ log(WIF),0.017984583629130135,11.032251524904373,-3.309304347750782,0.014467658262571658,0.05322270614438334,0.16639290301220558,False
AVAX,BTC,4620,log(BTC) ~ log(AVAX),0.08404327459036409,10.843120450864149,-3.265736292860075,0.016481281911119295,0.05946984060659778,0.16639290301220558,False
AAVE,BTC,4620,log(BTC) ~ log(AAVE),0.2081650773876902,10.058996979428343,-3.2570832179180607,0.016909291391132147,0.05940707848173397,0.16639290301220558,False
LDO,WIF,4620,log(LDO) ~ log(WIF),0.10696104099888509,-1.2048288193771566,-3.2557663857822323,0.01697527351881433,0.060897631481397145,0.16639290301220558,False
