asset_a,asset_b,dependent,independent,hedge_ratio,adf_p,adf_q,engle_granger_p,phi,phi_p_vs_unit_root_approx,is_mean_reverting,theta_per_bar,half_life_bars,half_life_hours,ou_mu,ou_sigma_eq,current_spread,current_rolling_zscore,current_ou_zscore,half_life_hours_ci_low,half_life_hours_ci_high
DOGE,XRP,XRP,DOGE,0.27541687966412803,0.015946447471243234,0.12757157976994588,0.0580451537396373,0.9951145248179016,0.00059470224153646,True,0.004897448127578682,141.53231693392942,2.9485899361235295,0.00042749456737869036,0.005879002013833305,6.557535291524391e-05,1.175308364351929,-0.061561335344306696,,
LDO,WIF,WIF,LDO,1.2124668919049242,0.017302359971570373,0.13072894200742058,0.06298638754361222,0.9978101283180432,0.001220295428965068,True,0.002192272957245549,316.17740768505416,6.587029326771962,0.01426704094601534,0.027881956438058356,0.011494607636034493,1.8257924244568546,-0.09943467619067532,,
AAVE,DOGE,AAVE,DOGE,1.3193234859439915,0.018350362453181356,0.1313499628227718,0.06508970859469182,0.9951502312191554,0.0012409575040415177,True,0.004861567070900928,142.57690379482798,2.9703521623922495,-0.0019159257678215574,0.015105656622345032,-0.028004778383496465,-1.9882644054669723,-1.727091596738866,,
LDO,WLD,LDO,WLD,-0.08331823113993914,0.022006296227954296,0.14964281435008922,0.07563833676647044,0.9958198271227625,0.0018792410441643703,True,0.004188934224367302,165.47101086664557,3.4473127263884495,-0.0023635808135410406,0.012091045770227129,-0.02168509783954553,-0.5618280158985897,-1.5980021408554752,,
AVAX,ETH,ETH,AVAX,0.32440010074078607,0.024645786717927005,0.1596108092208606,0.08299014879472372,0.9961174095892827,0.003613288314428198,True,0.0038901472312336373,178.18019199754954,3.712087333282282,-0.0005360908974653767,0.006510297678094107,-0.00815836749304566,0.3452760057865171,-1.170803083433154,,
ADA,WIF,ADA,WIF,-0.07874262062822349,0.026809892193409533,0.1640446156673416,0.08895112293473195,0.9956744207344593,0.0014538368532879264,True,0.004334961649470861,159.8969579453034,3.3311866238604875,-0.000650726744800054,0.010915967728669086,-0.0013774278352975955,2.1442892617530473,-0.06657230110611032,,
AAVE,ADA,ADA,AAVE,0.28359119147708656,0.031115054840646892,0.1640446156673416,0.10035684444960608,0.9954304732224319,0.002346538479342186,True,0.004579998979235253,151.34221289186485,3.1529627685805175,0.000622311348880768,0.008572921173434247,0.019593368378301168,2.3684221523698334,2.2129046384105195,,
CRV,WIF,CRV,WIF,-0.048167465518789865,0.03140418949056119,0.1640446156673416,0.10108266941082988,0.9956682788260811,0.002194622025022852,True,0.004341130259604712,159.66974937606705,3.326453112001397,-0.0010451988365019237,0.010325013594837217,-0.015461860026152019,0.9592643050143488,-1.396284959552868,,
BTC,UNI,BTC,UNI,0.3520052249306851,0.03167967694638004,0.1640446156673416,0.10188488771148513,0.9958169386383342,0.001475588200750666,True,0.004191834838051452,165.35651029661042,3.4449272978460503,0.00020526074565197918,0.004934321799417964,-0.005168633352395702,0.08678323796880669,-1.0890846435434283,,
AVAX,LDO,LDO,AVAX,0.5232940881723896,0.032243054632609465,0.1640446156673416,0.10326660844622315,0.9955915454551907,0.0013667257179792447,True,0.004418200433966416,156.88450329938428,3.268427152070506,-0.0019117621329329943,0.008079897563379821,-0.01856272934479586,-1.2946022214493405,-2.060789395069727,,
CRV,UNI,CRV,UNI,0.44670630192719596,0.03256768105160458,0.1640446156673416,0.1040776519575996,0.9938844742881721,0.00024759417222885993,True,0.006134302130113771,112.99527898328179,2.354068312151704,0.0004979722900441986,0.006444106499463407,0.010093981908227967,1.0057971799375827,1.4891140639874305,,
ENA,UNI,UNI,ENA,0.5206659771194585,0.034588698283535904,0.16800224880574582,0.10928964602331953,0.9943852625080921,0.00030173013362211343,True,0.005630559382093221,123.10449699977418,2.5646770208286287,-0.0010457100105638695,0.008840316187713887,-0.0119657773875943,-0.56953743905672,-1.2352575569872655,,
SOL,WLD,SOL,WLD,-0.2153646019382059,0.03940234389944313,0.17538977469129555,0.1214587593022406,0.996477382819441,0.0037721968939399275,True,0.0035288362055843447,196.4237329754913,4.0921611036560686,-0.0012418259567686947,0.01611873473879234,-0.0005907606952249012,0.8202986287915583,0.04039183422858246,,
BTC,OP,BTC,OP,0.21677800482872595,0.04400703439783658,0.17538977469129555,0.13277591874295108,0.9964422371506663,0.005664620522016106,True,0.0035641067387520466,194.47991639067666,4.051664924805764,-0.00023661941377756438,0.006097562565907894,-0.01066435782435704,0.3774342672075348,-1.710148653313054,,
BTC,ENA,BTC,ENA,0.18694498785007252,0.044069690996112236,0.17538977469129555,0.13278608057052782,0.9961755854082601,0.004054716858673091,True,0.003831746364353125,180.8958930602293,3.768664438754777,-0.00029161006635901657,0.006027777321747616,-0.009068038899586739,-0.22824452148518495,-1.4559975202738906,,
ADA,XRP,XRP,ADA,0.5024425389769842,0.045184973676941895,0.17538977469129555,0.13552636701232773,0.9962631508390454,0.0023355861569291925,True,0.0037438486245144017,185.14295049785844,3.8571448020387176,0.00023236689074969616,0.0052997805669448,-0.008685124275019933,0.7430418879249152,-1.6826151673880254,,
ARB,LDO,LDO,ARB,0.7405374107638031,0.04606989457858028,0.17538977469129555,0.13731672634577807,0.9947268167688071,0.0007750712985419295,True,0.0052871355321952316,131.1007021361809,2.731264627837102,-0.0018294137655989263,0.006541934876200131,-0.023435277341319116,-2.092859313898952,-3.302671760662636,,
