token,median_spread_bps,mean_spread_bps,median_impact_bps,mean_impact_bps,median_net_spread_bps,pct_net_positive,n_obs
BONK,51502218.73,50914376.31465887,66.80039788599666,65.68368154935253,51502033.722032785,98.5981308411215,4280
WIF,49616126.13,32986918.21744751,41.70986139293886,40.76263276577596,49616085.14725859,70.37037037037037,4239
SOL,86.94999999999999,842.946955399061,0.9023576226086731,3.5235943807331944,82.64,99.31924882629109,4260
