token,cex_halflife_min,cex_phi,cex_adf_stat,cex_adf_p,cex_stationary,dex_halflife_min,dex_phi,dex_adf_stat,dex_adf_p,dex_stationary
AAVE,1.7707136178645415,0.6760753437848354,-0.9071147944376146,0.7856203847645657,False,626.681338750871,0.9988945514285856,-1.7000091486452318,0.4311077632174977,False
ARB,1.475876956149336,0.6252203930717282,-3.345321180408473,0.012970233633836186,True,60.88619233226067,0.9886802477978641,-5.845339031566283,3.6949223073118674e-07,True
AVAX,0.7758927175429996,0.4092805529519746,-4.962444674995142,2.632190132246598e-05,True,753.1464194667708,0.9990800881520548,-1.6196602776634723,0.4729074058825012,False
BONK,1.5890351970844911,0.6464843356755429,-8.73150605192753,3.182415349222325e-14,True,43.00977887151994,0.9840131316609566,-6.636806219922983,5.536301000204035e-09,True
BTC,0.8342304585777053,0.4356648036532828,-3.1597225713497323,0.022437709897919995,True,470.6402352853443,0.9985283089838191,-2.020299988450953,0.27774379932143867,False
CRV,0.5925189220376738,0.3104193047329298,-9.612800215694831,1.792953903713119e-16,True,119.31838006172013,0.9942076170528596,-3.5336535859316456,0.007163711867302092,True
ETH,0.999964369914493,0.4999876512658457,-6.295681681052698,3.510723871195849e-08,True,22.22493196719476,0.9692935031480939,-5.162987320574169,1.0457959911892035e-05,True
LDO,0.7759754099962056,0.40931951874190675,-4.603053033571351,0.00012750626664022967,True,23.46953794246152,0.9708979556201268,-7.4702340710427775,5.077587651283467e-11,True
OP,1.1685911596370027,0.5525851616088805,-13.344734983496734,5.82521787991339e-25,True,51.661678961396376,0.9866725602605215,-6.835464442718894,1.8474113704783782e-09,True
PEPE,0.9607250597208273,0.4860307439500686,-8.947486046719611,8.90705897253612e-15,True,67.06162478642801,0.989717259055045,-5.91180893734805,2.628092369485558e-07,True
SHIB,0.8858606447026327,0.4572814422699062,-9.487936229059668,3.7191029925302195e-16,True,705.2127351562175,0.9990175919781766,-3.17803794643674,0.021291646720683247,True
SOL,9.226927355648623,0.9276301131121852,-2.294461451405927,0.173760486395364,False,7.074143904625816,0.9066641453850404,-9.637495486729817,1.552420706944823e-16,True
SUI,12.171679524507072,0.9446436260913286,-3.7668680033118935,0.0032650825415073597,True,0.9290107827688503,0.47420613374614246,-21.362899063836867,0.0,True
UNI,0.7868519550480736,0.41440488051199514,-6.918540162150036,1.162447922008368e-09,True,123.12246341798742,0.9943860795241816,-4.082705226510378,0.0010342781812291506,True
WIF,2.9252698800366232,0.7890295295119751,-6.590914584336416,7.1184532791545615e-09,True,159.84509712394114,0.9956730203658234,-3.0275442543524935,0.03240095729627054,True
