token,cex_spread_std,cex_fee_bps,cex_ratio,cex_viable,dex_spread_std,dex_cost_bps,dex_ratio,dex_viable
SUI,38.259203016012435,20,1.9129601508006218,True,13.593439545037944,50.0,0.2718687909007589,False
LDO,25.163535533142014,20,1.2581767766571006,True,40.746559217132514,50.0,0.8149311843426503,False
WIF,24.898387273133363,20,1.2449193636566682,True,21.512896049430832,83.41972278587772,0.25788740756967354,False
ARB,20.444737989750376,20,1.0222368994875188,True,54.94402221468662,50.0,1.0988804442937323,True
CRV,17.134182511395373,20,0.8567091255697686,False,85.22681320190817,50.0,1.7045362640381634,True
BONK,15.634934719293376,20,0.7817467359646688,False,213.32203405974192,133.60079577199332,1.596712301203677,True
OP,15.1024251672721,20,0.755121258363605,False,69.15870324561511,50.0,1.3831740649123023,True
PEPE,13.078200407420741,20,0.6539100203710371,False,58.2910609926674,50.0,1.165821219853348,True
AAVE,9.567761409807737,20,0.47838807049038684,False,1977.5115782614673,50.0,39.550231565229346,True
SOL,8.417374769565225,20,0.42086873847826123,False,774.0536472090932,1.8047152452173463,428.9062494819631,True
SHIB,7.554059652524497,20,0.37770298262622487,False,1395.7990833415254,50.0,27.915981666830508,True
AVAX,7.057304256622472,20,0.3528652128311236,False,960.418463052893,50.0,19.20836926105786,True
UNI,3.6747896827243056,20,0.18373948413621527,False,99.18120197604759,50.0,1.9836240395209517,True
ETH,1.7445940088289424,20,0.08722970044144712,False,28.566415854359565,50.0,0.5713283170871913,False
BTC,1.7131077316302477,20,0.08565538658151238,False,110.89062114360368,50.0,2.2178124228720737,True
