variant,n_features,note,best_iter,r2,dir_acc,mae,rmse,n_filtered,r2_filtered,dir_acc_filtered,mae_filtered
raw + identity,53,ticker/OB/trades/cross + coin/pair; no z/spread trajectory FE,49,0.014447617928196266,0.520762592342656,0.7999852736373335,1.0373646476831504,7120,0.011987595370323234,0.7779494382022472,1.064227150230424
engineered + identity,11,z/spread lags + momentum/accel + coin/pair,49,0.1316881640294496,0.6274462546997012,0.7343485008001309,0.9737095916231507,60240,0.5346444576533893,0.8542994687915006,0.8163430044316284
engineered only,9,trajectory FE without coin/pair,49,0.12935111272621946,0.6269112713085848,0.735012048081763,0.9750190751744321,60709,0.5245645248125618,0.846546640531058,0.8247331349024039
raw only,51,raw microstructure without coin/pair,49,-0.002771171845334486,0.5038466436486938,0.8109950620378925,1.0463874149684318,75,-0.34294990203805087,0.6,0.93579031595187
full,62,all surviving features,49,0.13280704713287694,0.6288708934520175,0.7328035564483437,0.9730820414992488,67464,0.5276959543945174,0.8531216648879403,0.8087866053848206
