tau,n,fire_rate,diracc,r2,mean_pnl_proxy,total_pnl_proxy,sharpe_per_trade,sharpe_A_hourly,naive_diracc,naive_r2,naive_mean_pnl_proxy,W,min_periods,best_iter,n_all,model
0.5,7671,0.09153173362606942,0.7783861295789336,0.37585130196320227,0.8033399266742783,6162.420577518389,0.7204171880347513,1.9301130026010165,0.7779950462781906,-0.18475956789520698,0.8022060402118214,300,20,39,83807,lgbm_spread_only
0.75,2983,0.035593685491665375,0.8427757291317466,0.5022867768952517,1.1209953920105968,3343.9292543676106,1.0013078596707157,1.5604173708229867,0.8427757291317466,0.0669337104223866,1.1209953920105968,300,20,39,83807,lgbm_spread_only
1.0,1069,0.012755497750784541,0.8606173994387278,0.5324676471254053,1.3698967574064687,1464.419633667515,1.1862359112068284,1.180347823291225,0.8606173994387278,-0.04350269840314702,1.3698967574064687,300,20,39,83807,lgbm_spread_only
0.5,7385,0.08811913086019067,0.7786052809749492,0.3766455965696114,0.8066435858622355,5957.062881592609,0.7242490332465927,1.8829455418798342,0.7781990521327015,-0.19548053786453146,0.8054657872090863,400,20,34,83807,lgbm_spread_only
0.75,2802,0.033433961363609245,0.8383297644539615,0.49625720823872743,1.1246079615635516,3151.1515083010713,0.9985463559730873,1.4797011801131301,0.8383297644539615,0.04341179557689001,1.1246079615635516,400,20,34,83807,lgbm_spread_only
1.0,916,0.010929874592814443,0.8526200873362445,0.4692831825368833,1.3943049685631712,1277.1833512038647,1.136892852915361,1.1117831112658099,0.8526200873362445,-0.17652425045493736,1.3943049685631712,400,20,34,83807,lgbm_spread_only
0.5,7706,0.09194935983867696,0.775888917726447,0.36365550606888775,0.7915990037688923,6100.061923043084,0.7094072287284799,1.8249440681238924,0.774980534648326,-0.20249376699151833,0.7887655385733248,560,20,33,83807,lgbm_spread_only
0.75,2929,0.03494934790649946,0.8337316490269716,0.4862694880293793,1.1055317875941961,3238.1026058634006,0.9853734612478459,1.4557603709879365,0.8337316490269716,0.014025214832657396,1.1055317875941961,560,20,33,83807,lgbm_spread_only
1.0,928,0.011073060722851313,0.8459051724137931,0.4743261836450171,1.3925185833404976,1292.2572453399819,1.12023705715194,1.0844796082386776,0.8459051724137931,-0.11065883011515965,1.3925185833404976,560,20,33,83807,lgbm_spread_only
0.5,8109,0.09675802737241519,0.7708718707608829,0.35407623478772465,0.7722725365700233,6262.357999046319,0.691719041981671,1.8373883145420338,0.7695153533111357,-0.23031428763597872,0.7692331743557191,720,20,33,83807,lgbm_spread_only
0.75,3119,0.03721646163208324,0.8316768194934274,0.48045771130790427,1.0823153346771863,3375.741528858144,0.9718982834831025,1.4922279728894197,0.8316768194934274,0.009860273933389174,1.0823153346771863,720,20,33,83807,lgbm_spread_only
1.0,989,0.011800923550538737,0.8412537917087968,0.45790861777500436,1.3521517711684807,1337.2781016856275,1.0773602546040504,1.0718677361894744,0.8412537917087968,-0.16114220746787944,1.3521517711684807,720,20,33,83807,lgbm_spread_only
